datetime,value_1,value_2,value_3
2022-06-15 01:30:00,683.84002685547,46.400001525879,48
2022-06-15 01:45:00,699.03997802734,46,42
2022-06-15 02:00:00,716,44.299999237061,45
2022-06-15 02:15:00,734.23999023438,41.799999237061,45
2022-06-15 02:30:00,693.44000244141,43.200000762939,40
2022-06-15 02:45:00,680.15997314453,43.599998474121,44
2022-06-15 03:00:00,798.08001708984,40.900001525879,44
2022-06-15 03:15:00,719.03997802734,41.400001525879,40
2022-06-15 03:30:00,734.55999755859,41.799999237061,45
2022-06-15 03:45:00,756.15997314453,42.599998474121,44
2022-06-15 04:00:00,846.55999755859,41,39
2022-06-15 04:15:00,878.55999755859,45.599998474121,47
2022-06-15 04:30:00,887.84002685547,44.799999237061,44
2022-06-15 04:45:00,921.59997558594,40,45
2022-06-15 05:00:00,927.52001953125,48,46
2022-06-15 05:15:00,1432.3199462891,45.599998474121,44
2022-06-15 05:30:00,1414.5600585938,49.700000762939,51
2022-06-15 05:45:00,1231.5200195312,49.200000762939,54
2022-06-15 06:00:00,1827.8399658203,50.799999237061,50
2022-06-15 06:15:00,1491.6800537109,65.5,64
2022-06-15 06:30:00,1466.4000244141,64.900001525879,75
2022-06-15 06:45:00,1506.7199707031,77.099998474121,73
2022-06-15 07:00:00,1653.5999755859,87.199996948242,89
2022-06-15 07:15:00,1789.7600097656,106.40000152588,92
2022-06-15 07:30:00,1775.0400390625,97.800003051758,105
2022-06-15 07:45:00,1746.0799560547,102.5,108
2022-06-15 08:00:00,1784.4799804688,106.19999694824,104
2022-06-15 08:15:00,1828.8000488281,113.09999847412,112
2022-06-15 08:30:00,1828.9599609375,107.5,115
2022-06-15 08:45:00,1794.0799560547,93.800003051758,94
2022-06-15 09:00:00,1869.4399414062,98.800003051758,105
2022-06-15 09:15:00,1933.2800292969,100.80000305176,96
2022-06-15 09:30:00,1947.3599853516,112.30000305176,108
2022-06-15 09:45:00,1989.5999755859,111.19999694824,108
2022-06-15 10:00:00,1930.8800048828,118.90000152588,114
2022-06-15 10:15:00,1857.4399414062,126,119
2022-06-15 10:30:00,1825.2800292969,122.90000152588,133
2022-06-15 10:45:00,1678.8800048828,108.90000152588,115
2022-06-15 11:00:00,1474.7199707031,104.30000305176,115
2022-06-15 11:15:00,1618.2399902344,99.699996948242,98
2022-06-15 11:30:00,1703.0400390625,94.5,100
2022-06-15 11:45:00,1766.8800048828,91.400001525879,96
2022-06-15 12:00:00,1959.0400390625,99.599998474121,93
2022-06-15 12:15:00,1924.4799804688,108.40000152588,106
2022-06-15 12:30:00,1836.3199462891,94.400001525879,115
2022-06-15 12:45:00,1774.4000244141,114.40000152588,101
2022-06-15 13:00:00,1709.1199951172,107.09999847412,121
2022-06-15 13:15:00,1844.8000488281,117.5,109
